央视,#genre#
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
农林卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
炫动卡通,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
体育休闲,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226656/1.m3u8
纪实人文,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226694/1.m3u8
北京体育休闲,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/88888888/224/3221226656/1.m3u8
北京体育休闲,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/88888888/224/3221226658/1.m3u8
石家庄新闻,http://pluslive1.sjzntv.cn/xmzh/playlist.m3u8
石家庄娱乐,http://pluslive1.sjzntv.cn/yule/playlist.m3u8
石家庄生活,http://pluslive1.sjzntv.cn/shenghuo/playlist.m3u8
石家庄都市,http://pluslive1.sjzntv.cn/dushi/playlist.m3u8
保定新闻,http://jwcdnqx.hebyun.com.cn/live/jybd/1500k/tzwj_video.m3u8
保定公共,http://jwcdnqx.hebyun.com.cn/live/bdxw1/1500k/tzwj_video.m3u8
保定生活,http://jwcdnqx.hebyun.com.cn/live/bddst/1500k/tzwj_video.m3u8
港台,#genre#
台视,http://60.248.77.83/sat/tv071.flv
中视,http://60.248.77.83/sat/tv091.flv
华视,http://60.248.77.83/sat/tv111.flv
民视,http://60.248.77.83/sat/tv051.flv
TVBS新闻,http://60.248.77.83/sat/tv551.flv
TVBS欢乐,http://60.248.77.83/sat/tv421.flv
纬来日本,http://60.248.77.83/sat/tv771.flv
TVBS,http://xcui.vitvabc.xyz:8880/cnzw/h0fZD1lFKd/38536
中天新闻,http://xcui.vitvabc.xyz:8880/cnzw/h0fZD1lFKd/21296
寰宇新闻,http://xcui.vitvabc.xyz:8880/cnzw/h0fZD1lFKd/24960
中天新闻,https://hls.ulivetv.net/v/live/cg1049vjg14w.m3u8
中视新闻,https://hls.ulivetv.net/v/live/clev54g636bk.m3u8
寰宇新闻,https://hls.ulivetv.net/v/live/cfxws90rpmf4.m3u8
TVBS,http://lzoq.71.gay/daili/yg.php?id=tvbs
中天新闻,http://lzoq.71.gay/daili/yg.php?id=cti
中天新闻2,http://lzoq.71.gay/daili/yg.php?id=cti2
摔跤,https://d2p372oxiwmcn1.cloudfront.net/hls/1080p/playlist.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
大愛台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
梯台,#genre#
亞太臺,https://live.ntdtv.com/aplive200/playlist.m3u8
中國臺,https://live.ntdtv.com/cnlive900/playlist.m3u8
三立新聞,http://125.227.210.55:35238/VideoInput/play.ts
民視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
三立iNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
TVBS新聞,https://yt-stream.livednow.com/stream/2mCSYvcfhtc/master.m3u8
TVBS NEWS,https://yt-stream.livednow.com/stream/m_dhMSvUCIc/master.m3u8
三立NEWS+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
非凡新聞,http://125.227.210.55:28993/VideoInput/play.ts
中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
東森新聞,http://211.23.114.106:8540/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森財經,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
東森財經,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
台視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
中視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中天亞洲台,https://yt-stream.livednow.com/stream/s2waUruqze4/master.m3u8
東森財經股市,https://yt-stream.livednow.com/stream/6gXbFIaRJt0/master.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
寰宇國際新聞,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
東森美洲,http://38.64.72.148/hls/modn/list/2016/chunklist1.m3u8
華視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
華視戲劇,https://ytm2.yuanhsing.cf/ctsprog.m3u8
蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
八大電視,https://ytm2.yuanhsing.cf/GTVDRAMA.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
寰宇新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
民視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
東森財經新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
台視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
中視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
萬秀豬王,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV34.m3u8
中視,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV71.m3u8
中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
TVBS NESW,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
超視34.5,http://38.64.72.148/hls/modn/list/2013/chunklist1.m3u8
民視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV76.m3u8
MOMO1台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
MOMO2台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
三立新聞,https://yt-stream.livednow.com/stream/FoBfXvlOR6I/master.m3u8
三立新聞+,https://yt-stream.livednow.com/stream/oZdzzvxTfUY/master.m3u8
中天新聞2,https://yt-stream.livednow.com/stream/WPfPjbOLNfE/master.m3u8
中天亞洲台,https://yt-stream.livednow.com/stream/s2waUruqze4/master.m3u8
台視新聞台,https://yt-stream.livednow.com/stream/xL0ch83RAK8/master.m3u8
公視新聞台,https://yt-stream.livednow.com/stream/quwqlazU-c8/master.m3u8
東森新聞,https://yt-stream.livednow.com/stream/S5WOGu2HSes/master.m3u8
東森新聞,https://yt-stream.livednow.com/stream/6gXbFIaRJt0/master.m3u8
東森財經新聞,https://yt-stream.livednow.com/stream/WHEPzbFA3hw/master.m3u8
中視新聞,https://yt-stream.livednow.com/stream/TCnaIE_SAtM/master.m3u8
寰宇新聞台,https://yt-stream.livednow.com/stream/6IquAgfvYmc/master.m3u8
中天新聞,https://yt-stream.livednow.com/stream/oIgbl7t0S_w/master.m3u8
華視新聞,https://yt-stream.livednow.com/stream/wM0g8EoUZ_E/master.m3u8
mnews 鏡新聞,https://yt-stream.livednow.com/stream/5n0y6b0Q25o/master.m3u8
三立iNEWS,https://yt-stream.livednow.com/stream/CKjSm5ZeehE/master.m3u8
民視新聞,https://yt-stream.livednow.com/stream/ylYJSBUgaMA/master.m3u8
新唐人亞太電視台,https://yt-stream.livednow.com/stream/WIhgU_mc05A/master.m3u8
民視戲劇,https://ytm2.yuanhsing.cf/FTVDRAMA.m3u8
天王豬哥秀,https://yt-stream.livednow.com/stream/IsFtLpSuf_g/master.m3u8
豬哥會社,https://yt-stream.livednow.com/stream/htGDPsz2BYI/master.m3u8
萬秀豬王,https://yt-stream.livednow.com/stream/ADDSmXoPDY8/master.m3u8
緯來體育台,https://fake-stream.livednow.com/redirect/videolandsports?token=fe44a6f50b373603e7ade66f751d2a37&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
民視,https://fake-stream.livednow.com/4gtv/4gtv-4gtv002?token=b8e3d5214e6cffbb4d17830c7768800c&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
民視第一台,https://fake-stream.livednow.com/4gtv/4gtv-4gtv003?token=3758307f36347497c96547757b1805e8&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
民視新聞台,https://fake-stream.livednow.com/4gtv/litv-ftv13?token=b55a3e83d722a63441b3a1838a67e8bc&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
民視台灣台,https://fake-stream.livednow.com/4gtv/4gtv-4gtv001?token=9c157dded413b0683514fe5acd3d025a&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
民視綜藝台,https://fake-stream.livednow.com/4gtv/4gtv-4gtv004?token=e6a6be636d58709b08a491a720f9fcfb&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
民視影劇台,https://fake-stream.livednow.com/4gtv/24?token=9a939f8a3ac2c92bed38c36236361fc0&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
民視旅遊台,https://fake-stream.livednow.com/4gtv/litv-ftv07?token=2b2480ad38bb491616814d2d605a41ba&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
台視新聞台,https://fake-stream.livednow.com/youtube/xL0ch83RAK8?token=76452ebd0247f9f6b6d81953edfde617&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
東森新聞台,https://yt-stream.livednow.com/stream/6gXbFIaRJt0/master.m3u8
東森新聞,https://fake-stream.livednow.com/youtube/S5WOGu2HSes?token=d69959db36675917162d8fb605c1a312&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
東森財經新聞,https://fake-stream.livednow.com/youtube/WHEPzbFA3hw?token=222c6ca0676d750aac074da3d6a3cf01&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
東森電影,https://fake-stream.livednow.com/laotv/DongsenMovie?token=d4ad937288691d13efd01ab155bc9413&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
東森洋片,https://fake-stream.livednow.com/laotv/DongsenForeignMovie?token=056590c13ea374b1e2acd1f9e3ccd723&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
中天新聞台,https://fake-stream.livednow.com/youtube/oIgbl7t0S_w?token=ea3c77d54feda21278b6114423908f58&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
中天新聞2台,https://fake-stream.livednow.com/youtube/WPfPjbOLNfE?token=40bec3a31232c97c7a5423d89ace692b&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
中天亞洲台,https://fake-stream.livednow.com/youtube/s2waUruqze4?token=2d8b533fc1ee27efe5db4fd2f5085a99&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
中視,https://fake-stream.livednow.com/4gtv/4gtv-4gtv040?token=ca72b6ff5d757ea06da5c401301a3f49&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
中視新聞,https://fake-stream.livednow.com/4gtv/4gtv-4gtv074?token=dfede1a3669810ff4c61282a92adfb2f&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
中視經典台,https://fake-stream.livednow.com/4gtv/124?token=80b3f9e7b74f066c3e523586b8d557d7&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
中視菁采台,https://fake-stream.livednow.com/4gtv/123?token=8a4c28b173681716b734325fdbd93ce7&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
華視,https://fake-stream.livednow.com/4gtv/6?token=18b4ded23621c0d991b67544d09e866f&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
華視新聞,https://fake-stream.livednow.com/4gtv/4gtv-4gtv052?token=3f9f0dceeca5128fa572256ca3688c61&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
公視新聞,https://fake-stream.livednow.com/youtube/quwqlazU-c8?token=cbe10d91cfe03e7edf9cb8cb3247ec8a&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
公視戲劇,https://fake-stream.livednow.com/4gtv/4gtv-4gtv042?token=078929af7e8ca1243b15e1d86b3d0e71&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
鏡電視新聞台,https://fake-stream.livednow.com/4gtv/268?token=d0ae3ceca8432975e14b3da0d46715a3&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
寰宇新聞台,https://fake-stream.livednow.com/4gtv/litv-longturn14?token=a48a58477f4f0bf10d930a884df8d23d&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
寰宇新聞台灣台,https://fake-stream.livednow.com/4gtv/280?token=d0c34076355b09256a62777348f9af4a&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
寰宇財經台,https://fake-stream.livednow.com/4gtv/281?token=29425fe88ac012ae389c984fd90c87b3&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
三立新聞,https://fake-stream.livednow.com/youtube/FoBfXvlOR6I?token=b82d4a76e2534670cc55b0aa6cb084f9&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
三立新聞+,https://fake-stream.livednow.com/youtube/oZdzzvxTfUY?token=082709965a655050f0f1d4a1c89f94e2&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天綜合台,https://fake-stream.livednow.com/4gtv/21?token=53e8ae9735c8eaddc3840946913d4859&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天資訊台,https://fake-stream.livednow.com/4gtv/88?token=cc6d395a61717bdaa74be623c03e1293&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天日本台,https://fake-stream.livednow.com/4gtv/4gtv-4gtv047?token=d6169004ece38bbcc7f0ef06135fbd52&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天卡通台,https://fake-stream.livednow.com/4gtv/15?token=154fcede334ef91894ac12b2ca7093e7&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天育樂台,https://fake-stream.livednow.com/4gtv/83?token=f15f03d7f5caebe3a50ba2c708e9af5c&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天國際台,https://fake-stream.livednow.com/4gtv/84?token=761bbc9932c7391e82ea144d899826b1&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天歡樂台,https://fake-stream.livednow.com/4gtv/119?token=a12d9c7597bf7eea07ddd5c6adde3ab2&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天電影台,https://fake-stream.livednow.com/4gtv/4gtv-4gtv061?token=5b639205e26ded7a637e0257013e0744&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天戲劇台,https://fake-stream.livednow.com/4gtv/116?token=e06e34ddf1ea7376844aa5f4f9f875c9&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖天映畫台,https://fake-stream.livednow.com/4gtv/42?token=b229f94b5c14dcf42eabd48b63c1be92&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
TVBS,https://fake-stream.livednow.com/4gtv/183?token=65f2416f8cecc2c5f60df5e66d5744fb&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
TVBS 新聞台,https://fake-stream.livednow.com/youtube/2mCSYvcfhtc?token=ed4e2a8d017c5e95af18de81746eeef3&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
TVBS 精采台,https://fake-stream.livednow.com/4gtv/227?token=18069f92a33d9fe1a3319376e7fda4f4&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
TVBS 歡樂台,https://fake-stream.livednow.com/4gtv/184?token=914438a4c8a7fdcc9eb2471aa9681962&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖洋卡通 Nice Bingo,https://fake-stream.livednow.com/4gtv/59?token=8d7dac6ff1e42d49b1c88868a9806d1a&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
靖洋戲劇台,https://fake-stream.livednow.com/4gtv/118?token=9d65ed6164d628b37d484bc983cda228&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
客家電視台,https://fake-stream.livednow.com/4gtv/107?token=687876a0addb2cb119e8f094cb9d5a09&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
八大綜藝台,https://fake-stream.livednow.com/4gtv/114?token=d310b1c6b30326a8013de7b8ec1b9613&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
八大精彩台,https://fake-stream.livednow.com/4gtv/172?token=7d013a38d60f158b1b1265f688e8172b&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
愛爾達娛樂台,https://fake-stream.livednow.com/4gtv/4gtv-4gtv070?token=db069a3611acce8397d3d2aa3254120e&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
達文西頻道,https://fake-stream.livednow.com/4gtv/11?token=5d6187154f4face288d87356ae6632ff&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
ELTV生活英語台,https://fake-stream.livednow.com/4gtv/litv-longturn20?token=866832e24d6deeb7e5599e7e8c000b8e&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
i-Fun動漫台,https://fake-stream.livednow.com/4gtv/litv-ftv15?token=68bb9c2ce1eb384cb9122020e57b769d&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
韓國娛樂台 KMTV,https://fake-stream.livednow.com/4gtv/76?token=663712ecdccfce985aa611a9a1cef5ef&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
亞洲旅遊台,https://fake-stream.livednow.com/4gtv/250?token=1e7cfaf1f1673342f91b6807ebdc696d&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
龍華電影台,https://fake-stream.livednow.com/4gtv/litv-longturn03?token=5fc1547ad0885b7487465cfc93c408ac&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
龍華戲劇台,https://fake-stream.livednow.com/4gtv/23?token=f42cb2ceb9fbd50038ad7fa38dcc2225&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
龍華日韓台,https://fake-stream.livednow.com/4gtv/litv-longturn11?token=74540094d802181407acb91aec2b7864&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
龍祥時代,https://fake-stream.livednow.com/laotv/Longxiang?token=7bc9660eadd7ad971ef527e2f1209761&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
視納華仁紀實頻道,https://fake-stream.livednow.com/4gtv/4gtv-4gtv013?token=2ce9910369a57e195d367e8f7abc134c&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
采昌影劇台,https://fake-stream.livednow.com/4gtv/25?token=b733f1c181845a96865e6bc5ff00c4f8&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
影迷數位電影台,https://fake-stream.livednow.com/4gtv/4gtv-4gtv011?token=dd94c6a8737444388476b53857446a9c&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
AMC 最愛電影,https://fake-stream.livednow.com/4gtv/39?token=c8997aef1a692f28d0641fea4f76233e&user_id=6603028310&user_token=b9c4323649499cce4aa68507d5d1d7a4
衛視電影,http://211.23.114.106:8525/http/116.50.42.19:8081/hls/64/806/ch16.m3u8
天映頻道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
八大綜合,http://211.23.114.106:8520/http/61.221.81.94:8088/hls/66/808/ch21.m3u8
東森幼幼,http://211.23.114.106:8515/http/61.221.81.94:8088/hls/63/805/ch09.m3u8
緯來綜合,http://211.23.114.106:8518/http/61.221.81.94:8088/hls/68/810/ch32.m3u8
八大第一,http://211.23.114.106:8536/http/61.221.81.94:8088/hls/66/808/ch22.m3u8
八大綜合,http://211.23.114.106:8520/http/61.221.81.94:8088/hls/66/808/ch21.m3u8
三立台灣,http://211.23.114.106:8521/http/60.251.39.91:8081/hls/65/807/ch20.m3u8
台視,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/72/814/ch46.m3u8
中視,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/72/814/ch47.m3u8
華視,http://211.23.114.106:8503/http/61.221.81.94:8088/hls/72/814/ch48.m3u8
民視,http://211.23.114.106:8504/http/61.221.81.94:8088/hls/73/815/ch49.m3u8
公視,http://211.23.114.106:8505/http/61.221.81.94:8088/hls/73/815/ch50.m3u8
人間衛視,http://211.23.114.106:8506/http/61.221.81.94:8088/hls/69/811/ch36.m3u8
東森綜合,http://211.23.114.106:8524/http/60.251.39.91:8081/hls/63/805/ch12.m3u8
東森超視,http://211.23.114.106:8525/http/60.251.39.91:8081/hls/64/806/ch14.m3u8
